day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2024-04-17,3.441747411,861394187.7,1,1000000000.0,3441747411.0,3441747411.0,399.5554486140399,Mega Whale Orders
2024-04-18,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-04-19,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-04-20,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-04-21,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-04-22,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-04-23,3.441747411,861394187.7,2,3500000.0,12046115.938500002,6023057.969250001,0.6992220350745699,Mega Whale Orders
2024-04-24,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-04-25,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-04-26,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-04-27,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-04-28,3.441747411,861394187.7,1,1000000.0,3441747.4110000003,3441747.4110000003,0.3995554486140399,Big Whale Orders
2024-04-29,3.441747411,861394187.7,1,6000000.0,20650484.466000002,20650484.466000002,2.3973326916842397,Mega Whale Orders
2024-04-30,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-01,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-02,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-03,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-04,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-05,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-06,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-07,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-08,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-09,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-10,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-11,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-12,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-13,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-14,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-15,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-16,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-17,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-18,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-19,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-20,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-21,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-22,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-23,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-24,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-25,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-26,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-27,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-28,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-29,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-30,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-05-31,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-01,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-02,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-03,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-04,3.441747411,861394187.7,22,107255061.0,369144828.5133971,16779310.386972595,1.947924727908237,Mega Whale Orders
2024-06-05,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-06,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-07,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-08,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-09,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-10,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-11,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-12,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-13,3.441747411,861394187.7,2,5000000.0,17208737.055,8604368.5275,0.9988886215350996,Mega Whale Orders
2024-06-14,3.441747411,861394187.7,4,40000088.0,137670199.31377217,34417549.82844304,3.9955632763602686,Mega Whale Orders
2024-06-15,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-16,3.441747411,861394187.7,0,0.0,0.0,,,Normal
2024-06-17,3.441747411,861394187.7,3,7.0,24.092231877,8.030743959,9.322960467660931e-07,Retail Orders
2024-06-18,3.441747411,861394187.7,6,5.8,19.962134983800002,3.3270224973,3.862369336602386e-07,Retail Orders
2024-06-19,3.441747411,861394187.7,29,29762806.0,102436060.49459527,3532277.948089492,0.41006521735664264,Big Whale Orders
2024-06-20,3.441747411,861394187.7,2585,13158523.100025086,45288312.81209503,17519.656793847207,0.002033872185813822,Normal
2024-06-21,3.441747411,861394187.7,1740,1577751.195083832,5430221.090881934,3120.8167188976636,0.00036229832560520577,Retail Orders
2024-06-22,3.027848029,756517561.1,888,1352926.210835612,4096454.960861045,4613.1249559246,0.0006097842526242184,Normal
2024-06-23,3.095099096,774001305.8,809,41277297.23864688,127757325.36865926,157920.05607992492,0.02040307359904262,Small Whale Orders
2024-06-24,2.815594572,703168525.4,457,491078.9948164533,1382679.3522284222,3025.5565694276197,0.00043027474355546863,Retail Orders
2024-06-25,2.848035943,711552990.3,289,1528617.4959767458,4353557.571640431,15064.213050658931,0.0021170894165320935,Normal
2024-06-26,2.771810805,691606450.0,267,509245.2620796259,1411531.5198273638,5286.634905720463,0.0007643993062413549,Normal
2024-06-27,2.544636666,635178459.8,245,872816.8482216109,2221001.7546872683,9065.31328443783,0.0014272072902617393,Normal
2024-06-28,2.545573407,636517966.6,190,1624628.4663985511,4135611.020319345,21766.37379115445,0.003419600849198472,Normal
2024-06-29,2.504284478,625767974.9,230,6183566.740051711,15485410.205788562,67327.87045995027,0.010759238753103258,Small Whale Orders
2024-06-30,2.776535558,693622513.4,291,1835985.8944553875,5097680.1199418185,17517.80109945642,0.002525552553591093,Normal
2024-07-01,3.482378897,867863870.5,329,1497738.6225373053,5215693.37234576,15853.17134451599,0.0018266887104520834,Normal
2024-07-02,3.796751919,955484673.7,300,1320871.7647669304,5015022.4076317595,16716.74135877253,0.0017495562010470507,Normal
2024-07-03,3.842183052,441406663.4,255,1485046.3178376812,5705819.793830944,22375.76389737625,0.005069194861043471,Small Whale Orders
2024-07-04,3.554570437,392678974.4,164,479034.1122848969,1702760.4938424332,10382.685938063618,0.002644064646936599,Normal
2024-07-05,3.105834645,340427876.9,264,1366795.9594748097,4245042.24358288,16079.70546811697,0.004723380944751582,Normal
2024-07-06,3.913783291,430599853.6,255,705426.4216391543,2760886.142041243,10827.00447859311,0.0025144004086565972,Normal
2024-07-07,4.205662315,460053343.7,203,490082.665979743,2061122.1995457374,10153.311327811514,0.0022069856608698995,Normal
2024-07-08,4.025084085,441401901.9,137,814015.4119818733,3276480.4797129566,23915.915910313553,0.005418172374737916,Small Whale Orders
2024-07-09,3.85617001,424123267.9,123,618787.2386510306,2386148.7922568168,19399.58367688469,0.004574043714446418,Normal
2024-07-10,3.85237422,424225940.9,146,1404178.4027645914,5409420.6790910885,37050.826569117045,0.008733748457369983,Small Whale Orders
2024-07-11,4.058348036,444064909.1,98,439581.80247149855,1783975.944721546,18203.83617062802,0.004099363808665335,Normal
2024-07-12,3.758445029,412994606.2,110,680047.2176905076,2555920.084814169,23235.637134674264,0.005626135737816874,Small Whale Orders
2024-07-13,3.750734492,412000889.9,116,329802.12512041617,1237000.2062240446,10663.794881241764,0.0025882941378670464,Normal
2024-07-14,3.726875218,410103611.7,108,217864.33594805124,811953.1945308187,7518.085134544618,0.0018332160264036559,Normal
2024-07-15,3.900256971,429839981.0,126,819450.0969900432,3196065.953172042,25365.602802952715,0.005901173442251924,Small Whale Orders
2024-07-16,4.174096718,459025071.0,111,422349.0990399015,1762925.9881527098,15882.216109483872,0.0034599888138754564,Normal
2024-07-17,3.955887032,436593182.4,93,390609.5961116679,1545207.435832905,16615.133718633388,0.0038056328839809633,Normal
2024-07-18,4.023237907,443202554.4,118,1329485.115794985,5348834.914658668,45329.1094462599,0.010227628202104039,Small Whale Orders
2024-07-19,3.925984213,431859056.4,91,1552861.011651422,6096507.816726692,66994.59139260101,0.015513068534690803,Small Whale Orders
2024-07-20,3.963909264,440665907.8,269,1395172.5481649234,5530337.388549426,20558.875050369614,0.0046654108444668775,Normal
2024-07-21,5.288593892,587672480.5,229,831975.4863519388,4399980.475414593,19213.888538928353,0.003269489243835428,Normal
2024-07-22,5.241974835,582442706.7,215,836746.5810471871,4386204.521121643,20400.951261030896,0.003502653741965191,Normal
2024-07-23,5.18749206,576471502.7,173,339575.5241698693,1761545.3354015355,10182.342979199628,0.0017663220005687936,Normal
2024-07-24,4.888204004,542067399.8,135,428174.87311070797,2093006.1291519548,15503.749104829294,0.0028601146482060214,Normal
2024-07-25,4.81492876,529484122.2,327,924840.4033841934,4453040.656664554,13617.86133536561,0.0025719111800337965,Normal
2024-07-26,4.575806471,505479672.5,165,890460.0191568248,4074572.7178245825,24694.380108027774,0.004885335939602551,Normal
