day,price,market_cap,buyers,total_buy_qty,total_buy_usd,avg_buy_usd,ratio_pct,bucket
2023-12-28,0.014423167,0.0,34,21244644.11825004,306415.0499730881,9012.20735214965,,Normal
2023-12-29,0.014423167,0.0,19,13077249.4479899,188615.3526890161,9927.123825737692,,Normal
2023-12-30,0.01439072,0.0,17,2256008.345330705,32465.58441531748,1909.7402597245573,,Normal
2023-12-31,0.014569706,0.0,11,1014405.2946906122,14779.586908485582,1343.5988098623257,,Normal
2024-01-01,0.0131099,0.0,8,3403988.340858467,44625.94674982042,5578.243343727552,,Normal
2024-01-02,0.01246417,0.0,8,3049011.419560904,38003.39666534842,4750.424583168553,,Normal
2024-01-03,0.012717045,0.0,7,1445070.5975718335,18377.0278174979,2625.2896882139858,,Normal
2024-01-04,0.011586346,0.0,15,4039840.433706932,46806.98904971858,3120.465936647905,,Normal
2024-01-05,0.012370916,0.0,9,469922.8012835133,5813.375501163036,645.9306112403373,,Normal
2024-01-06,0.011559356,0.0,5,181320.2065418045,2095.944817410248,419.18896348204953,,Normal
2024-01-07,0.011001358,0.0,8,3294509.8613349604,36244.08241907625,4530.510302384531,,Normal
2024-01-08,0.011586256,0.0,3,656485.8519629911,7606.213141221316,2535.404380407105,,Normal
2024-01-09,0.011519239,0.0,6,4072946.2298673126,46917.24105599052,7819.54017599842,,Normal
2024-01-10,0.01126564,0.0,1,3570.0,40.2183348,40.2183348,,Normal
2024-01-11,0.012206321,0.0,3,500540.1972461052,6109.754320989276,2036.584773663092,,Normal
2024-01-12,0.011147862,0.0,5,489293.6041709051,5454.577576779875,1090.915515355975,,Normal
2024-01-13,0.010589885,0.0,0,0.0,0.0,,,Normal
2024-01-14,0.010687335,0.0,0,0.0,0.0,,,Normal
2024-01-15,0.010257839,0.0,0,0.0,0.0,,,Normal
2024-01-16,0.010386653,0.0,2,103161.1208101551,1071.4987649461598,535.7493824730799,,Normal
2024-01-17,0.010612147,0.0,2,79316.19644171085,841.7151361203125,420.85756806015627,,Normal
2024-01-18,0.010169278,0.0,2,11819.6071446151,120.19687090437716,60.09843545218858,,Normal
2024-01-19,0.00980841,0.0,2,82564.42164264045,809.8256988838909,404.9128494419455,,Normal
2024-01-20,0.009767538,0.0,4,1587843.852622572,15509.325168557372,3877.331292139343,,Normal
2024-01-21,0.009515194,0.0,0,0.0,0.0,,,Normal
2024-01-22,0.00913256,0.0,0,0.0,0.0,,,Normal
2024-01-23,0.008019694,0.0,0,0.0,0.0,,,Normal
2024-01-24,0.007709062,0.0,5,4928627.475077547,37995.09478027627,7599.018956055253,,Normal
2024-01-25,0.008890879,0.0,2,55310.43380690403,491.7583744146931,245.8791872073465,,Normal
2024-01-26,0.00895749,0.0,4,2538741.1217684653,22740.748210829814,5685.187052707453,,Normal
2024-01-27,0.009841796,0.0,0,0.0,0.0,,,Normal
2024-01-28,0.009694868,0.0,1,229565.5672260779,2225.6078716019515,2225.6078716019515,,Normal
2024-01-29,0.009647518,0.0,2,10968.637125161333,105.8201241004622,52.91006205023111,,Normal
2024-01-30,0.009826067,0.0,4,102090.75731870056,1003.150621494292,250.787655373573,,Normal
2024-01-31,0.009889646,0.0,3,384932.2209055448,3806.843398749638,1268.9477995832126,,Normal
2024-02-01,0.009319797,0.0,5,6312239.458100408,58828.790364885805,11765.758072977162,,Normal
2024-02-02,0.009664551,0.0,2,379022.2279786811,3663.079652433591,1831.5398262167955,,Normal
2024-02-03,0.009644534,0.0,5,1835919.426955225,17706.587334530184,3541.3174669060368,,Normal
2024-02-04,0.010077409,0.0,6,1627234.8943787452,16398.311569726415,2733.051928287736,,Normal
2024-02-05,0.010310304,0.0,8,2461683.8878081795,25380.709235204224,3172.588654400528,,Normal
2024-02-06,0.010840862,0.0,47,6808878.96197379,73814.11720146111,1570.513131945981,,Normal
2024-02-07,0.014985799,0.0,38,8013248.115923158,120084.92560235312,3160.1296211145564,,Normal
2024-02-08,0.018071076,0.0,30,3806346.751413061,68784.78142713853,2292.826047571284,,Normal
2024-02-09,0.015630305,0.0,26,4027256.931082226,62947.25414617918,2421.048236391506,,Normal
2024-02-10,0.01687597,0.0,10,483628.0878481012,8161.69310168192,816.1693101681919,,Normal
2024-02-11,0.016731555,0.0,40,16397050.54259557,274348.1529912176,6858.70382478044,,Normal
2024-02-12,0.025465279,0.0,35,3021704.9700080343,76948.56011694123,2198.5302890554635,,Normal
